,CRN,Course Number,Title,Credits,Day/Time/Room,Instructor,FY,Max,Current,Wait
0,CRN,Course Number,Title,Credits,Day/Time/Room,Instructor,FY,Max,Current,Wait
1,112,FS 100 A,Seminar I,4,MW 1:05-2:30 PM in DAC-139,John Myers,FY,14,12,0
2,207,FS 100 B,Seminar I,4,MW 1:05-2:30 PM in CL3-10,Felix Kaputu,FY,14,12,0
3,32,FS 100 C,Seminar I,4,TR 9:00-10:25 AM in CL3-09,Jeff Walton,FY,14,8,0
4,191,FS 100 D,Seminar I,4,TR 10:35-12:00 PM in DAC-135,Em Rooney,FY,14,11,1
5,29,FS 100 E,(CLOSED)Seminar I,4,TR 2:40-4:05 PM in CL3-09,Jeff Walton,FY,14,15,0
6,133,FS 100 F,(CLOSED)Seminar I,4,TR 4:15-5:40 PM in DAC-128,Dien Vo,FY,14,15,0
7,253,FS 100 G,Seminar I,4,MW 2:40-4:05 PM in CL3-14,Justin Jackson,FY,14,11,0
8,CRN,Course Number,Title,Credits,Day/Time/Room,Instructor,FY,Max,Current,Wait
9,33,PACE 100,CP American Ways,3,MW 2:40-4:05 PM in HCC-CONF,Mark Hopkins,FY,15,7,0
10,CRN,Course Number,Title,Credits,Day/Time/Room,Instructor,FY,Max,Current,Wait
11,291,FYE 100 A,(CLOSED)First Year Experience I,1 p/f,M 4:15-5:40 PM in CL1-02,Fiona Scruggs,FY,15,17,0
12,292,FYE 100 B,First Year Experience I,1 p/f,F 1:05-2:30 PM in CL3-10,Mary Budzn,FY,15,11,0
13,293,FYE 100 C,First Year Experience I,1 p/f,F 1:05-2:30 PM in CL3-12,David Franco Arabia,FY,15,11,0
14,294,FYE 100 D,First Year Experience I,1 p/f,F 1:05-2:30 PM in CL3-11,Mileta Roe,FY,15,10,0
15,295,FYE 100 E,First Year Experience I,1 p/f,F 2:40-4:05 PM in CL3-09,Mileta Roe,FY,15,13,0
16,296,FYE 100 F,First Year Experience I,1 p/f,F 2:40-4:05 PM in CL3-10,Donald McClelland,FY,15,13,0
17,CRN,Course Number,Title,Credits,Day/Time/Room,Instructor,FY,Max,Current,Wait
18,242,AFAM 215,CP Afrofuturism,3,MW 2:40-4:05 PM in CL3-09,Carla Stephens,FY,15,13,0
19,CRN,Course Number,Title,Credits,Day/Time/Room,Instructor,FY,Max,Current,Wait
20,10,ANTH 232,"WCP City Life: Anthropology, People, and Place at Home and Abroad",3,TR 10:35-12:00 PM in CL1-03,Kathryn Boswell,FY,15,7,0
21,170,ANTH 238,WCP Media Anthropology,3,TR 1:05-2:30 PM in CL1-03,Kathryn Boswell,FY,15,8,0
22,CRN,Course Number,Title,Credits,Day/Time/Room,Instructor,FY,Max,Current,Wait
23,92,ARTH 101,Introduction to Art History: A Survey of Visual Arts from 1945-present,3,MW 2:40-4:05 PM in DAC-125,Zoey Lubitz,FY,15,8,0
24,195,ARTH 218/318,Photographic Futures: Carceral Systems and Environmental Justice,3/4,MW 10:05-11:30 AM in DAC-025,Em Rooney and Zoey Lubitz,,15,4,0
25,248,ARTH 255AM 1,"History of Architecture and Decor, A Visual Survey of 5000 Years - Part I",2,TR 10:35-12:00 PM in DAC-125,John Musall,FY,15,9,0
26,249,ARTH 255BM 2,"History of Architecture and Decor, A Visual Survey of 5000 Years - Part II",2,TR 10:35-12:00 PM in DAC-125,John Musall,FY,15,6,0
27,CRN,Course Number,Title,Credits,Day/Time/Room,Instructor,FY,Max,Current,Wait
28,263,PHIL 206,"CP Philosophies and Religions of East Asia: Buddhism, Daoism, Confucianism, and Shinto",3,TR 1:05-2:30 PM in CL3-10,Christopher Coggins,FY,15,10,0
29,CRN,Course Number,Title,Credits,Day/Time/Room,Instructor,FY,Max,Current,Wait
30,126,BIO 100,Introduction to Biology,4,MWF 9:00-9:55 AM in FSH-102,Sarah Snyder,FY,30,27,0
31,136,BIO 100L A,Introduction to Biology Lab,0,T 9:00-11:55 AM in FSH-202,Daniel Wendekier,FY,15,12,0
32,137,BIO 100L B,(CLOSED)Introduction to Biology Lab,0,T 2:40-5:35 PM in FSH-202,Daniel Wendekier,FY,15,15,0
33,128,BIO 105M 1,Field Studies: Butterflies,2,F 1:05-4:00 PM in FSH-211,Sarah Snyder,FY,14,10,0
34,94,BIO 200,General Botany,4,WF 10:05-11:30 AM and R 2:40-5:35 PM in FSH-211,Donald McClelland,,15,3,0
35,96,BIO 221,Anatomy,4,MWF 1:35-2:30 PM and F 1:05-4:00 PM in FSH-202,Susan Mechanic-Meyers,,15,8,0
36,125,BIO 223,Marine Biology,3,TR 9:00-10:25 AM in FSH-102,Amy Smith,,15,9,0
37,127,BIO 330,Herpetology,4,TR 1:05-2:30 PM and T 2:40-5:35 PM in FSH-211,Sarah Snyder,,14,5,0
38,185,BIO 334,Genetics: Genes and Genomes,4,TR 10:35-12:00 PM in FSH-102,Amy Smith,,15,8,0
39,CRN,Course Number,Title,Credits,Day/Time/Room,Instructor,FY,Max,Current,Wait
40,103,CHEM 100 A,Chemistry I,4,MWF 10:05-11:00 AM in FSH-102,David Myers,WP,20,10,0
41,104,CHEM 100 B,Chemistry I,4,MWF 11:10-12:05 PM in FSH-102,David Myers,WP,20,13,0
42,105,CHEM 100L A,Chemistry I Lab,0,T 9:00-11:55 AM in FSH-128,David Myers,WP,10,5,0
43,106,CHEM 100L B,Chemistry I Lab,0,R 9:00-11:55 AM in FSH-128,David Myers,WP,10,4,0
44,138,CHEM 100L D,Chemistry I Lab,0,R 2:40-5:35 PM in FSH-128,Daniel Wendekier,WP,10,8,0
45,139,CHEM 100L E,Chemistry I Lab,0,F 1:05-4:00 PM in FSH-128,Daniel Wendekier,WP,10,6,0
46,121,CHEM 302,Organic Chemistry I,4,MWF 9:00-9:55 AM in FSH-113 and M 4:15-7:10 PM in FSH-128,Jessica Robbins,,15,4,0
